abstract,keywords
"Clustering and partitioning based methods have improved drastically Hierarchic- al Radiosity (HR). The first method reduces the number of links but lacks precision since it does not account precisely for the orientations of the patches, within the emitting and receiving clusters, during the illuminati- on calculation. As for the second approach, it is efficient since it partition- s large environments into 3D cells and emploies ordering strategies that need only a subset of cells for computing illumination at each step of the resolution process. Nevertheless, the computation complexity still remains high when the cells contain many objects of highly detailed geometry. The new HR, described in this paper, brings solutions to these problems by making use of Levels Of Details (LOD) that approximate the geometry of the object surfaces in the scene.","[427, 3482, 2796]"
"Group communication is a crucial feature for high-performance and Grid computing. While previous works and libraries proposed such a characteristic, the use of groups imposed specific constraints on programmers, for instance the use of dedicated interfaces to trigger group communications; this thesis presents a more flexible mechanism. More specifically, it proposes a scheme where, given a Java class, one can initiate group communications using the standard public methods of the class together with the classical dot notation; in that way, group communications remain typed. Furthermore, groups are automatically constructed to handle the result of collective operations, providing an elegant and effective way to transparently gather operations. This group communication system is based on a Meta-Object Protocol. This system allows an object notation and a dynamic management of the results (ex: B groupB = groupA.foo();). This flexibility also allows to handle results that are groups of remotely accessible objects, and to use a group as a means to dispatch different parameters to different group members. In addition, hierarchical groups can be easily and dynamically constructed; an important feature to achieve the use of several clusters in Grid computing. Performance measures and a numerical software demonstrate the viability of the approach. Last works led to an Object-Oriented SPMD (Single Program Multiple Data) programming style, based on the typed group communication, which allows extended numerical programming abilities while keeping all the benefit of the typed approach. For this, the objects groups supporting the distributed computation can also be further organized according to a topology, i.e. adding the notion of an ID for each member in the SPMD group and the way to easily reference its neighbors. Collective operations were revisited and extended with barrier synchronization such as providing a complete Object-Oriented SPMD model.","[2706, 5069, 67, 336]"
"Deep learning has developed considerably in recent years. However, many existing methods are still based on supervised learning, which requires annotated data. Obtaining such data can be difficult. In this thesis, we present a methodology, based on transfer learning, for training neural networks with a low volume of annotated data. Our approach consists in augmenting a pre-trained self-supervised generative network with new layers and connections, to adapt it to a supervised image-to-image task. Unlike most methods based on transfer learning, we use the entire generative model, including the decoder, for the supervised task. Our methodology is inspired by the 3FabRec network proposed by Browatzki et al. for face alignment, which we have extended to other supervised tasks and generative networks. We have also proposed and studied different ways of augmenting the generative network for the supervised task. We applied our methodology to two supervised tasks: face alignment and 3D face reconstruction. For the first application, our models outperformed the state-of-the-art on many datasets when the number of training data is limited. For 3D face reconstruction, we were able to improve the predictions of a selfsupervised network via the addition of supervised information, but obtained with very little annotated data.","[10, 82, 22, 1686, 100, 1, 2359, 1341, 85]"
"Consider a set of oligomers listing the subunits involved in sub-complexes of a macro-molecular assembly, obtained e.g. using native mass spectrometry or affinity purification. Given these oligomers, connectivity inference (CI) consists of finding the most plausible contacts between these subunits, and minimum connectivity inference (MCI) is the variant consisting of finding a set of contacts of smallest cardinality. MCI problems avoid speculating on the total number of contacts, but yield a subset of all contacts and do not allow exploiting a priori information on the likelihood of individual contacts. In this context, we present two novel algorithms, MILP-W and MILP-WB. The former solves the minimum weight connectivity inference (MWCI), an optimization problem whose criterion mixes the number of contacts and their likelihood. The latter uses the former in a bootstrap fashion, to improve the sensitivity and the specificity of solution sets. Experiments on three systems (yeast exosome, yeast proteasome lid, human eiF3), for which reference contacts are known (crystal structure, cryo electron microscopy, cross-linking), show that our algorithms predict contacts with high specificity and sensitivity, yielding a very significant improvement over previous work, typically a twofold increase in sensitivity. The software accompanying this paper is made available, and should prove of ubiquitous interest whenever connectivity inference from oligomers is faced.","[638, 1818, 2776]"
"Most cloud data centers are over-provisioned and underutilized, primarily to handle peak loads and sudden failures. This has motivated many researchers to reclaim the unused resources, which are by nature ephemeral, to run data-intensive applications at a lower cost. Hadoop MapReduce is one of those applications. However, it was designed on the assumption that resources are available as long as users pay for the service. In order to make it possible for Hadoop to run on unused (ephemeral) resources, we have designed a heterogeneity and volatility-aware holistic scheduler consisting of three different components: (1) A MapReduce task and job scheduler that relies on a global vision of resource utilization predictions, (2) a scheduler-based data placement strategy that improves the data locality, and (3) a reactive QoS controller that ensures customers’ service-level agreement (SLA) and minimizes interference between co-located workloads. Our framework makes it possible to take advantage of ephemeral resources efficiently. Indeed, for a given set of jobs, it reduces the overall execution time by up to 47.6% and an average of 18.7% as compared to state-of-the-art strategies.","[2718, 34, 1569, 1104]"
"<div><p>A proper k-colouring of a graph G = (V, E) is a function c : V (G) → {1, . . . , k} such that c(u) ̸ = c(v) for every edge uv ∈ E(G). The chromatic number χ(G) is the minimum k such that there exists a proper k-colouring of G. Given a spanning subgraph H of G, a q-backbone k-colouring of (G, H) is a proper k-colouring c of G such that |c(u) -c(v)| ⩾ q for every edge uv ∈ E(H). The q-backbone chromatic number BBC q (G, H) is the smallest k for which there exists a q-backbone k-colouring of (G, H). In their seminal paper, Broersma et al. [11] ask whether, for any chordal graph G and any spanning forest H of G, we have that BBC 2 (G, H) ⩽ χ(G) + O(1).</p><p>In this work, we first show that this is true as long as H is bipartite and G is an interval graph in which each vertex belongs to at most two maximal cliques. We then show that this does not extend to bipartite graphs as backbone by exhibiting a family of chordal graphs G with spanning bipartite subgraphs H satisfying BBC 2 (G, H) ⩾ 5χ (G) 3 . Then, we show that if G is chordal and H has bounded maximum average degree (in particular, if H is a forest), then BBC 2 (G, H) ⩽ χ(G) + O( χ(G)). We finally show that BBC 2 (G, H) ⩽ 3 2 χ(G) + O(1) holds whenever G is chordal and H is C 4 -free.</p></div>","[2429, 1302, 2339]"
"In large scale distributed systems, replication is essential in order to provide availability and partition tolerance. Such systems are abstracted by the wait-free model, composed of asynchronous processes that communicate by sending and receiving messages, and in which any process may crash. The CAP theorem states that strong consistency is unachievable in the wait-free model. Weaker consistency criteria, such as eventual consistency, update consistency and causal convergence, have been identified as potential substitutes to strong consistency for the management of replicated objects. Complexity in local memory has already been studied for several objects, including sets, databases and collaborative editors. However, the literature has focused on a subclass of algorithms, called the operational model, in which processes can only broadcast one message per update operation and the read operation incurs no communication. This paper tackles the following question: are the operational model and the wait-free model equivalent from the complexity point of view? We show that eventual consistency allows implementations in the wait-free model that require strictly less local memory than their counterparts in the operational model. On the other side, we propose, for the wait-free model, a universal construction that provides a garbage collection mechanism for old messages that never violates consistency even when there is no bound on the relative transmission delays.","[2631, 1681, 541, 2632]"
"The General Data Protection Regulation (GDPR) forces IT companies to comply with a number of principles when dealing with European citizens’ personal data. Noncompliant companies are exposed to penalties which may represent up to 4% of their turnover. Currently, it is very hard for companies driven by personal data to make their applications GDPR compliant, especially if those applications were developed before the GDPR was established. We present rgpdOS, a GDPR-aware operating system that aims to bring GDPR-compliance to every application, while requiring minimal changes to application code.","[2755, 245, 2300]"
"Recent progress in metagenomics has promoted a change of paradigm to investigate microbial ecosystems. These ecosystems are today analyzed by their gene content that, in particular, allows to emphasize the microbial composition in term of taxonomy (i.e., «who is there and who is not») or more recently their putative functions. However, understanding the interactions between microbial communities and their environment well enough to be able to predict diversity based on physicochemical parameters is a fundamental pursuit of microbial ecology that still eludes us. This task requires to decipher the mechanistic rules that prevail at the molecular level. Such a task must be achieved by dedicated computational approaches or modeling, as inspired by Systems Biology. Nevertheless, the direct application of standard cellular systems biology approaches is a complicated task. Indeed, the metagenomic description of ecosystems shows a large number of variables to investigate. Furthermore, communities are complex, mostly described qualitatively, and the quantitative understanding of the way communities interacts with their surroundings remains incomplete. Within this research summary, we will illustrate how systems biology approaches must be adapted to overcome these points in different manners. First, we will present the application of bioinformatics protocol on metagenomics data, with a particular emphasis on network analysis. Second, we will describe how to integrate heterogeneous omics knowledge via logic programming. Such integration will emphasize putative functional units at the community level. Third, we will illustrate the design and the use of quantitative modeling from this network. In particular, constraint-Based modeling will be used to predict microbial community structure and its behaviors based on genome-scale knowledge.","[4046, 94, 3331, 111]"
"When a natural or human disaster occurs, time is critical and often of vital importance. Data from the incident area containing the information to guide search and rescue (SAR) operations and improve intervention effectiveness should be collected as quickly as possible and with the highest accuracy possible. Nowadays, rescuers are assisted by different robots able to fly, climb or crawl, and with different sensors and wireless communication means. However, the heterogeneity of devices and data together with the strong low-delay requirements cause these technologies not yet to be used at their highest potential. Cloud and Edge technologies have shown the capability to offer support to the Internet of Things (IoT), complementing it with additional resources and functionalities. Nonetheless, building a continuum from the IoT to the edge and to the cloud is still an open challenge. SAR operations would benefit strongly from such a continuum. Distributed applications and advanced resource orchestration solutions over the continuum in combination with proper software stacks reaching out to the edge of the network may enhance the response time and effective intervention for SAR operation. The challenges for SAR operations, the technologies, and solutions for the cloud-to-edge-to-IoT continuum will be discussed in this paper.","[125, 10, 3]"
"Adaptation is a task of case-based reasoning (CBR) that aims at modifying a case to solve a new problem. Now, belief revision deals also about modifications. This paper studies how some results about revision can be applied to formalize adaptation and, more widely, CBR. Revision operators based on distances are defined in formalisms frequently used in CBR and applied to define an adaptation operator that takes into account the domain knowledge and the adaptation knowledge. This approach to adaptation is shown to generalize some other approaches to adaptation, such as rule-based adaptation.","[3387, 280, 845]"
"Clustering in high dimension spaces is a difficult task; the usual distance metrics may no longer be appropriate under the curse of dimensionality. Indeed, the choice of the metric is crucial, and it is highly dependent on the dataset characteristics. However a single metric could be used to correctly perform clustering on multiple datasets of different domains. We propose to do so, providing a framework for learning a transferable metric. We show that we can learn a metric on a labelled dataset, then apply it to cluster a different dataset, using an embedding space that characterises a desired clustering in the generic sense. We learn and test such metrics on several datasets of variable complexity (synthetic, MNIST, SVHN, omniglot) and achieve results competitive with the state-of-the-art while using only a small number of labelled training datasets and shallow networks.","[1, 499, 100]"
"Integration of automatic spatial annotations from different sources by means of semantic technologies. Resumen La extracción de información es una de las tareas prin-cipales de la minería de textos que resulta de gran uti-lidad para todo tipo de aplicaciones que exploten la in-formación geográfica ya que hay gran cantidad de in-formación geográfica que no se recopila directamente en formatos reconocibles por Sistemas de Información Geográfica, sino directamente como texto plano. Ac-tualmente existen diversas soluciones informáticas para el procesamiento de textos y la anotación de en-tidades espaciales. Sin embargo, el problema que tie-nen estas herramientas es que producen como resul-tado de este procesamiento un texto anotado con len-guajes de marcado propio, que dificulta su integración en otros sistemas. El objetivo de este trabajo es pro-poner la conversión de la salida de estas herramientas a un lenguaje de anotación espacial común basado en tecnologías semánticas que facilite su integración e in-teroperabilidad. Como factor común de los lenguajes de marcado se propone una anotación de textos ba-sada en RDFa y utilizando el vocabulario de la inicia-tiva internacional Schema.org. Para validar la utilidad de esta propuesta se ha creado la infraestructura ne-cesaria para construir un repositorio semántico de do-cumentos donde se integren y armonicen las anotacio-nes generadas por diversas herramientas de anota-ción existentes. Palabras clave: Extracción de información. Integra-ción de datos. Información geográfica. Web semántica. RDFa. Schema.org. Abstract Information extraction is one of the main tasks in text mining, which is essential for all types of applications exploiting geographic information because there is a big volume of geographic information not directly compiled in specific formats proposed by Geographic Information Systems, but just embedded in plain text sources. Currently, there are several software solutions for the processing of texts and the annotation of spatial named entities. However, the problem of these tools is that their output is based on heterogeneous annotation languages, which make it difficult their integration in other systems. The objective of this work is to propose the conversion of the output of these tools into a common spatial annotation language based on semantic technologies to facilitate their integration and in-teroperability. As a common annotation language we propose the use of a text annotation based on RDFa and using the vocabulary proposed by the international initiative Schema.org. In order to validate this proposal, we have created the necessary infrastructure to build a semantic repository of documents, where the annotations generated by different annotation tools can be integrated and harmonized.","[6, 218, 138]"
"Ever since the advent of high-throughput biology (e.g., the Human Genome Project), integrating the large number of diverse biological data sets has been considered as one of the most important tasks for advancement in the biological sciences. Whereas the early days of research in this area were dominated by virtual integration systems (such as multi-/federated databas-es), the current predominantly used architecture uses materiali-zation. Systems are built using ad-hoc techniques and a large amount of scripting. However, recent years have seen a shift in the understanding of what a “data integration system” actually should do, revitalizing research in this direction. In this tutorial, we review the past and current state of data integration for the Life Sciences and discuss recent trends in detail, which all pose challenges for the database community.","[6, 284, 218]"
"We give a new approach for finding large smooth twins. Those twins whose sum is a prime are of interest in the parameter setup of certain isogeny-based cryptosystems such as SQIsign. The approach to find such twins is to find two polynomials in Q[x] that split into a product of small degree factors and differ by 1. Then evaluate them on a particular smooth integer. This was first explored by Costello, Meyer and Naehrig at EUROCRYPT'21 using polynomials that split completely into linear factors which were found using Diophantine number theory. The polynomials used in this work split into mostly linear factors with the exception of a few quadratic factors. Some of these linear factors are repeated and so the overall smoothness probability is either better or comparable to that of the prior polynomials. We use these polynomials to search for large smooth twins whose sum is prime. In particular, the smoothness bounds of the 384 and 512-bit twins that we find are significantly smaller than those found in EUROCRYPT'21.","[4184, 194, 3645]"
"This thesis addresses the critical need for effective Fault Detection and Isolation (FDI) in green hydrogen (GH2) production, a key player in mitigating the greenhouse effect. To tackle this challenge, this thesis introduces a hybrid strategy for FDI. Extensive reviews of FDI algorithms reveal a gap in existing literature, emphasizing accuracy but neglecting the need for labeled data. Additionally, interpretability in Hybrid-FDI is often overlooked. The proposed hybrid approach aims to be efficient in data usage and interpretable, leveraging physics-based models and Artificial Intelligence (AI). This study introduces Bond Graph-Convolutional Neural Net (BG-CNN), a novel hybrid FDI method addressing AI model training challenges for fault diagnosis. BG-CNN combines BG residual generation and CNN-based fault classification, demonstrating superior real-time performance, particularly in scenarios with limited labeled data. Additionally, a Self-Supervised Learning (SSL) method enhances FDI in such situations. The study also discusses Bond Graph-eXplainable AI (BG-XAI), an occlusion-based method, emphasizing the importance of meaningful explanations for fault predictions, showcasing its effectiveness through visualizations. The BG-CNN method with SSL was employed for the FDI of the Proton Exchange Membrane (PEM) electrolyzer and railway tracks, surpassing the performance of traditional methods. Comparative analysis demonstrated the superior performance of the proposed method, particularly in scenarios with limited labeled data, outperforming state-of-the-art SSL methods. The BG-XAI method was used to provide explanations for predictions in accordance with structural analysis.","[5478, 1724, 107, 0, 3069]"
"Efficient numerical simulation of wave propagation phenomena is needed in several applications such as seismic imaging, non-destructive testing, or helioseismology. In this work, we consider time-harmonic waves and the hybridizable discontinuous Galerkin discretization method, for which the efficiency of the wave propagator relies on the performance of finding the solution of systems of sparse linear equations. These systems have multiple sparse right-hand sides associated with several sources. This motivates the use of direct solvers which can efficiently reuse the LU factors to compute the solution of multiple right-hand sides at the cost however of a high memory footprint. Fortunately, matrices arising from the discretization of partial differential equations have been shown to have a low-rank property and the Block-Low Rank (BLR) format has been used to design fast direct solvers with reduced asymptotic complexity. In very recent work, the authors have described how the BLR LU factorization algorithm can benefit from mixed precision arithmetic. In the context of 3D frequency-domain wave equations, the BLR factorization in 32-bit single precision arithmetic has been shown to provide accurate enough solutions. In this talk, we will explain why and how we can exploit lower precision formats (such as 24 and 16 bit arithmetics) in the representation of BLR blocks, while preserving a satisfactory accuracy. This allows us to reduce the memory footprint of the solver by further compressing both the LU factor matrices and the working space without affecting the precision of the solution. The performance using recent features of the MUMPS sparse direct solver, including mixed precision, will be analyzed with large-scale 3D acoustic and elastic experiments using hawen software.","[3227, 666, 780]"
"This work addresses the recurring challenge of real-time monophonic and polyphonic audio source classification. The whole normalized power spectrum (NPS) is directly involved in the proposed process, avoiding complex and hazardous traditional feature extraction. It is also a natural candidate for polyphonic events thanks to its additive property in such cases. The classification task is performed through a nonparametric kernel-based generative modeling of the power spectrum. Advantage of this model is twofold: it is almost hypothesis free and it allows to straightforwardly obtain the maximum a posteriori classification rule of online signals. Moreover it makes use of the monophonic dataset to build the polyphonic one. Then, to reach the real-time target, the complexity of the method can be tuned by using a standard hierarchical clustering preprocessing of the prototypes, revealing a particularly efficient computation time and classification accuracy trade-off. The proposed method, called RARE (for Real-time Audio Recognition Engine) reveals encouraging results both in monophonic and polyphonic classification tasks on benchmark and owned datasets, including also the targeted real-time situation. In particular, this method benefits from several advantages compared to the state-of-the-art methods including a reduced training time, no feature extraction, the ability to control the computation - accuracy trade-off and no training on already mixed sounds for polyphonic classification.","[4091, 12, 164, 2428, 0]"
"This paper presents an information extraction system, dedicated to message filtering for a specific domain (security systems). The paper focuses on a method for identifying domain-specific ontology elements (terms and concepts), using syntactic information and an existing domain ontology. The domain ontology is represented using description logics. The system uses description logics inference mechanisms to validate the candidate concepts.","[2341, 1232, 138]"
"Software engineers are acutely aware that the build of software is an essential but resource-intensive step in any software development process. This is especially true when building large systems or highly configurable systems whose vast number of configuration options results in a space explosion in the number of versions that should ideally be built and evaluated. Linux is precisely one such large and highly configurable system with thousands of options that can be combined. Previous study showed the benefit of incremental build, however, only on small-sized configurable software systems, unlike Linux. Although incremental compilation for post-commit is used in Linux, we show in this paper that the build of large numbers of random Linux configurations does not benefit from incremental build. Thus, we introduce and detail PyroBuildS, our new approach to efficiently explore, with incremental builds, the very large configuration space of Linux. Very much like fireworks, PyroBuildS starts from several base configurations (""rockets"") and generates mutated configurations (""sparks"") derived from each of the base ones. This enables exploring the configuration space with an efficient incremental build of the mutants, while keeping a good amount of diversity. We show on a total of 2520 builds that our PyroBuildS approach does trigger synergies with the caching capabilities of Make, hence significantly decreasing builds time with gains up to 85%, while having a diversity of 33% of options and 15 out of 17 subsystems. Overall, individual contributors and continuous integration services can leverage PyroBuildS to efficiently augment their configuration builds, or reduce the cost of building numerous configurations.","[2346, 1149, 5213]"
"<div><p>Microarchitectural side-channel attacks are a growing concern and have been widely studied on x86 and ARM architectures, but RISC-V's susceptibility to similar attacks remains understudied. We present the first implementation and evaluation of the Evict+Spec+Time attack on RISC-V, previously demonstrated only on x86 [2]. This advanced variant of Evict+Time integrates three critical phases: eviction, speculation, and timing. First, the attack forcibly evicts target cache lines using RISC-V's cbo.flush instruction via the Zicbom extension [6]. Next, it exploits out-of-order execution to manipulate microarchitectural resources such as the reorder buffer, limiting the processor's ability to mask cache-miss latency. Finally, it infers secret-dependent memory access patterns through precise timing measurements. We validate RISC-V's vulnerability by recovering secret keys from AES T-table implementations. Using the gem5 simulator [4], we provide the first detailed analysis of microarchitectural behavior during the attack, including cache contention, pipeline stalls, and latency variations. These insights establish foundational guidance for developing RISC-V-specific countermeasures against such attacks.</p></div>","[3310, 794, 596, 4290]"
"Model driven telemetry (MDT) enables the real-time collection of hundreds of thousands of counters on large-scale networks, with contextual information to each counter provided in the telemetry data structure definition. Explaining network events in such datasets implies substantial analysis by a domain expert. This paper presents an semantic feature selection method, to find the most important counters which describe a given event in a telemetry dataset, and facilitate the explanation process. This paper proposes a metric for estimating the importance of features in a dataset with descriptive feature names, to find those that are most meaningful to a human. With this estimation, this paper presents a cross-entropy based metric describing the quality of a selection of counters, which is combined with the data behavior to define an optimization goal. The computation of optimal selections distills intelligible and precise selections of counters with adjustable verbosity, and describes events with a few selected counters outlining the root cause of network events.","[886, 106, 239]"
"In this report, we study the issue of delay optimization and energy efficiency in grid wireless sensor networks (WSNs). We focus on STDMA (Spatial Reuse TDMA)) scheduling, where a predefined cycle is repeated, and where each node has fixed transmission opportunities during specific slots (defined by colors). We assume a STDMA algorithm that takes advantage of the regularity of grid topology to also provide a spatially periodic coloring (""tiling"" of the same color pattern). In this setting, the key challenges are: 1) minimizing the average routing delay by ordering the slots in the cycle 2) being energy efficient. Our work follows two directions: first, the baseline performance is evaluated when nothing specific is done and the colors are randomly ordered in the STDMA cycle. Then, we propose a solution, ORCHID that deliberately constructs an efficient STDMA schedule. It proceeds in two steps. In the first step, ORCHID starts form a colored grid and builds a hierarchical routing based on these colors. In the second step, ORCHID builds a color ordering, by considering jointly both routing and scheduling so as to ensure that any node will reach a sink in a single STDMA cycle. We study the performance of these solutions by means of simulations and modeling. Results show the excellent performance of ORCHID in terms of delays and energy compared to a shortest path routing that uses the delay as a heuristic. We also present the adaptation of ORCHID to general networks under the SINR interference model.","[959, 5300, 2654, 17]"
"Brain signals have recently been proposed as a strong biometric due to their characteristics such as, uniqueness, permanence, universality, and confidentiality. There are many factors that affect the stability of EEG signals as a biometric for example, using different recording devices, variation in participant emotional states, performing different mental tasks and recording in temporally spaced sessions. Due to the non-stationary nature of EEG signals, there are still speculations about the stability of using them for generating a unique and repeatable cryptographic key. The challenge that faces all biometric based crypto-systems is to overcome the variation in biometric itself over time and to generate multiple unique keys from the same observation. In this work, we investigate the stability of using EEG signals as a biometric for both personal authentication and cryptographic key generation. The authentication process was tested using three datasets AMIGOS, DEAP, and SEED. Achieving accuracy of , and respectively. The key generation process generates a set of different keys with different lengths from the same observation. Each key is unique and repeatable. The generated keys were examined using NIST test suite, scale index test, and autocorrelation test. Time complexity analysis of the key generation process was performed.","[1101, 1078, 2779]"
"Objective. Predicting performance in Brain-Computer Interfaces (BCI) is crucial for enhancing user experience, optimizing training and identifying the most efficient BCI approach for each individual. Approach. This study explores the use of Median Nerve Stimulation (MNS) as a predictor of Motor Imagery (MI)-BCI performance. MNS induces Event Related (De)Synchronization (ERD/ERS) patterns in the brain that are similar to those generated during MI tasks, providing a non-invasive, user-independent, and easy-to-setup method for performance prediction. Main results. Our proposed predictor, based on the minimum value of the ERD induced by the MNS, not only exhibits a robust correlation with the MI-BCI performance accuracy (rho = -0.71, p &lt; 0.001), but also effectively predicts this performance with a significant correlation (rho = 0.61, mean absolute error = 9.0, p &lt; 0.01). These results demonstrate its validity as a reliable predictor of MI-BCI performance. Significance. By systematically analyzing patterns induced by MNS and correlating them with subsequent MI-BCI task performance, we aim to establish a robust predictive method of motor activity to each individual only based on MNS, making it possible, among other things, to passively predict BCI deficiency or proficiency, and to potentially adapt BCI parameters for an efficient BCI experience or BCI-based recovery.","[1800, 364, 4844, 50, 5315]"
"Crowd data is a crucial element in the modeling of collective behaviors, and opens the way to simulation for their study or prediction. Given the difficulty of acquiring such data, virtual reality is useful for simplifying experimental processes and opening up new experimental opportunities. This comes at the cost of the need to assess the biases introduced by the use of this technology. Our paper is part of this effort, and investigates the effect of the graphical representation of a crowd on the behavior of a user immersed within. More specifically, we inspect the virtual navigation through virtual crowds, in terms of travel speeds and local navigation choices as a function of the visual representation of the virtual agents that make up the crowd (simple geometric model, anthropomorphic model or realistic model). Through an experiment in which we ask a user to navigate virtual crowds of varying densities, we show that the effect of the visual representation is limited, but that an anthropomorphic representation offers the best trade-off between computational complexity and ecological validity, even though a more realistic representation can be preferred when user behaviour is studied in more details. Our work leads to clear recommendations on the design of immersive simulations for the study of crowd behavior.","[1723, 2, 5789]"
"This paper presents our work on the identification, formalization, structuring, and specification of geometric knowledge objects for the purpose of semantic representation and knowledge management. We classify geometric knowledge according to how it has been accumulated and represented in the geometric literature, formalize geometric knowledge statements by adapting the language of first-order logic, specify knowledge objects with embedded knowledge in a retrievable and extensible data structure, and organize them by modeling the hierarchic structure of relations among them. Some examples of formal specification for geometric knowledge objects are given to illustrate our approach. The underlying idea of the approach has been used successfully for automated geometric reasoning, knowledge base creation, and electronic document generation.","[233, 3719, 185]"
"This work concerns multi-agents systems for the management of a corporate semantic web based on an ontology. It was carried out in the context of the European project CoMMA focusing on two application scenarios: support technology monitoring activities and assist the integration of a new employee to the organisation. Three aspects were essentially developed in this work: the design of a multi-agents architecture supporting both scenarios, and the organisational top-down approach followed to identify the societies, the roles and the interactions of agents; the construction of the ontology O'CoMMA and the structuring of a corporate memory exploiting semantic Web technologies; the design and implementation of the sub-societies of agents dedicated to the management of the annotations and the ontology and of the protocols underlying these groups of agents, in particular techniques for distributing annotations and queries between the agents.","[53, 6, 1454, 103, 233, 215, 3031]"
"We address the challenge of sharing large amounts of numerical data within computing grids consisting of clusters federation. We focus on the problem of handling the consistency of replicated data in an environment where the availability of storage resources dynamically changes. We propose a software architecture which decouples consistency management from fault-tolerance management. We illustrate this architecture with a case study showing how to design a consistency protocol using fault-tolerant building blocks. As a proof of concept, we describe a prototype implementation of this protocol within JuxMem, a software experimental platform for grid data sharing, and we report on a preliminary experimental evaluation.","[15, 4310, 798, 52]"
"Dynamic average estimation is a critical problem in multi-agent systems, enabling agents to collaboratively estimate time-varying signals using only local information exchange. Traditional model-based approaches often face challenges related to convergence speed and sensitivity to network topology changes. This paper introduces a novel learning-based solution leveraging Gated Graph Neural Networks (GGNNs) for fast-convergent dynamic average estimation in a fully distributed manner. Taking advantage of the inherent structure of GGNNs, the proposed method models the estimation process as a distributed autoregressor, ensuring rapid convergence while maintaining stability. We incorporate a regularization term during training to enforce convergence guarantees and introduce an encoding-decoding mechanism to reduce communication overhead without sacrificing accuracy compared to standard GGNNs. Extensive numerical experiments demonstrate that our approach significantly outperforms conventional model-based estimators in terms of both convergence speed and precision, making it a promising alternative for multi-agent applications that require dynamic average estimation.","[3022, 41, 69]"
"Automatic speaker verification (ASV) is one of the most natural and convenient means of biometric person recognition. Unfortunately , just like all other biometric systems, ASV is vulnerable to spoofing, also referred to as ""presentation attacks."" These vulnerabilities are generally unacceptable and call for spoofing countermeasures or ""presentation attack detection"" systems. In addition to impersonation, ASV systems are vulnerable to replay, speech synthesis, and voice conversion attacks. The ASVspoof challenge initiative was created to foster research on anti-spoofing and to provide common platforms for the assessment and comparison of spoofing countermeasures. The first edition, ASVspoof 2015, focused upon the study of countermeasures for detecting of text-to-speech synthesis (TTS) and voice conversion (VC) attacks. The second edition, ASVspoof 2017, focused instead upon replay spoofing attacks and countermeasures. The ASVspoof 2019 edition is the first to consider all three spoofing attack types within a single challenge. While they originate from the same source database and same underlying protocol, they are explored in two specific use case scenarios. Spoofing attacks within a logical access (LA) scenario are generated with the latest speech synthesis and voice conversion technologies, including state-of-the-art neural acoustic and waveform model techniques. Replay spoofing attacks within a physical access (PA) scenario are generated through carefully controlled simulations that support much more revealing analysis than possible previously. Also new to the 2019 edition is the use of the tandem detection cost function metric, which reflects the impact of spoofing and countermeasures on the reliability of a fixed ASV system. This paper describes the database design, protocol, spoofing attack implementations, and baseline ASV and countermeasure results. It also describes a human assessment on spoofed data in logical access. It was demonstrated that the spoofing data in the ASVspoof 2019 database have varied degrees of perceived quality and similarity to the target speakers, including spoofed data that cannot be differentiated from bona fide utterances even by human subjects. It is expected that the ASVspoof 2019 database, with its varied coverage of different types of spoofing data, could further foster research on anti-spoofing.","[3969, 2485, 1807, 4445]"
"Success of Intelligent Vehicle navigation largely depends on the ability to localize precisely the vehicle in the environment. In general, all intelligent vehicle seemed to agree on a combination of non-cumulative error localization method like GPS with more precise localization method but suffered from cumulative errors like Laser-SLAM with an odometer. However, as GPS is only available for outdoor environment and since the indoor environment is also an important scenario for intelligent vehicles, a replacement of GPS for indoor localization is required. Successfully replacing GPS will not only provide a reliable indoor localization method for vehicles but also keep the architecture of vehicle localizing system consistent and achieve a smooth transition from outdoor to indoor and vice versa. Often, movement speed for indoor vehicles will be as low as 10-12km/h [1] but still, it surpasses the movement speed of human walking (3-5km/h) and presents a challenge for a tight and complex environment. This paper proposes an improved WiFi-fingerprinting method to replace GPS behavior for the indoor environment. The key contribution is to use a raw data smoothing technique with an ensemble classification neural network method to deal with noisy WiFi signal strength. Also, environment constraints are applied to improve localization result. Experiments show this method is capable of replacing GPS for the indoor environment.","[547, 1420, 4]"
We compare the performance of the texture and the amplitude based mixture density models for urban area extraction from high resolution Synthetic Aperture Radar (SAR) images. We use an Auto-Regressive (AR) model with t-distribution error for the textures and a Nakagami density for the amplitudes. We exploit a Multinomial Logistic (MnL) latent class label model as a mixture density to obtain spatially smooth class segments. We combine the Classification EM (CEM) algorithm with the hierarchical agglomeration strategy and a model order selection criterion called Integrated Completed Likelihood (ICL). We test our algorithm on TerraSAR-X data provided by DLR/DFD.,"[2253, 75, 5530, 4196]"
"This paper presents the robustness and performance anal- ysis of the Controlled Greedy Sleep algorithm, which was designed to provide k-coverage in wireless sensor networks. The aim of this algorithm is to prolong network lifetime while ensuring QoS requirements in a dynamic manner. We investigated how the network can be strenghtened to im- prove performance characteristics, and how this algorithm ensures graceful degradation (i.e., how the network will pro- vide less accurate measurement data as sensors become un- available). We also test the robustness of the algorithm by measuring the effect of message loss due to communication errors. We compare the results to those of a very known and frequently used random algorithm. Our performance tests are based on simulations results.","[191, 1363, 239]"
